"states","indicator","items","sex","Unit","Date","Value"
"Edo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","164743"
"Edo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","187282"
"Edo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","192613"
"Edo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","804813"
"Edo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","748328"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","112570"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","274613"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","1707"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","7369"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","1519"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","14911"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","2407"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","681255"
"Edo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","446457"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","240821"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","148026"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","184472"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","86894"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","98838"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","116122"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","145401"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","591863"
"Ekiti","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","690320"
"Ekiti","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","143327"
"Ekiti","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","253649"
